[2025-02-05 12:58:40,030: INFO: main: Welcome to our custom log]
[2025-02-05 18:18:47,218: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-05 18:18:47,226: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-05 18:18:47,228: INFO: common: created directory at: artifacts]
[2025-02-05 18:18:47,230: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-05 18:18:47,231: INFO: 620147312: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-05 18:18:59,581: INFO: 620147312: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-05 18:39:48,679: INFO: main: >>>>> stage Data Ingestion stage stage<<<<]
[2025-02-05 18:39:48,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-05 18:39:48,682: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-05 18:39:48,683: INFO: common: created directory at: artifacts]
[2025-02-05 18:39:48,683: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-05 18:39:48,684: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-05 18:39:59,404: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-05 18:39:59,982: INFO: main: >>>>>>stage Data Ingestion stage completed <<<<<<

x=====x]
